diagnostic_category,diagnosis_icd10_code,diagnosis,dsm_symptom_criteria,symptom_id,symptom_segment,zcode_hrsn,symp_prob
Personality Disorders (Cluster C),F60.7,Dependent Personality Disorder,Frequently experiences extreme helplessness in the absence of others,F60.7.18,Experiences extreme helplessness,No,Symptom
Personality Disorders (Cluster C),F60.7,Dependent Personality Disorder,Seeks constant reassurance and approval from others,F60.7.19,Seeks constant reassurance,No,Symptom
Personality Disorders (Cluster C),F60.5,Obsessive-Compulsive Personality Disorder,Displays a rigid sense of morality and rightness,F60.5.27,Rigid sense of morality,No,Symptom
Personality Disorders (Cluster C),F60.5,Obsessive-Compulsive Personality Disorder,Is preoccupied with order and cleanliness to the point of dysfunction,F60.5.28,Preoccupied with order,No,Symptom
Personality Disorders (Cluster C),F60.6,Avoidant Personality Disorder,Tends to misinterpret neutral comments as criticism,F60.6.17,Misinterprets comments as criticism,No,Symptom
Personality Disorders (Cluster C),F60.7,Dependent Personality Disorder,Exhibits a pervasive and excessive need to be taken care of,F60.7.20,Pervasive need to be taken care of,No,Symptom
Personality Disorders (Cluster C),F60.5,Obsessive-Compulsive Personality Disorder,Difficulty in discarding worn-out or worthless objects,F60.5.29,Difficulty discarding objects,No,Symptom
Personality Disorders (Cluster C),F60.6,Avoidant Personality Disorder,Experiences significant discomfort in interpersonal relationships,F60.6.18,Significant discomfort in relationships,No,Symptom
Personality Disorders (Other),F60.8,Other Specified Personality Disorder,Symptoms causing significant distress or impairment,F60.8.1,Significant distress or impairment,No,Symptom
Personality Disorders (Other),F60.9,"Personality Disorder, Unspecified",Symptoms not meeting criteria for other disorders,F60.9.1,Symptoms not meeting other criteria,No,Symptom
Personality Disorders (Other),F61.0,Mixed Personality Disorder,Symptoms of more than one personality disorder,F61.0.1,Symptoms of multiple disorders,No,Symptom
Personality Disorders (Other),F61.9,"Personality Disorder, Not Otherwise Specified",Symptoms causing functional impairment,F61.9.1,Functional impairment,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.0,Paranoid Schizophrenia,Preoccupation with one or more delusions,F20.0.1,Delusions of persecution,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.0,Paranoid Schizophrenia,Preoccupation with one or more delusions,F20.0.2,Delusions of reference,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.0,Paranoid Schizophrenia,Preoccupation with one or more delusions,F20.0.3,Delusions of control,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.0,Paranoid Schizophrenia,Preoccupation with one or more delusions,F20.0.4,Auditory hallucinations,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.1,Disorganized Schizophrenia,Disorganized speech,F20.1.1,Incoherence,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.1,Disorganized Schizophrenia,Disorganized speech,F20.1.2,Derailment,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.1,Disorganized Schizophrenia,Disorganized behavior,F20.1.3,Agitation,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.1,Disorganized Schizophrenia,Disorganized behavior,F20.1.4,Inappropriate affect,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.1,Disorganized Schizophrenia,Negative symptoms,F20.1.5,Avolition,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.2,Catatonic Schizophrenia,Motor immobility,F20.2.1,Catatonic stupor,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.2,Catatonic Schizophrenia,Excessive motor activity,F20.2.2,Catatonic excitement,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.2,Catatonic Schizophrenia,Echolalia and echopraxia,F20.2.3,Echolalia,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.2,Catatonic Schizophrenia,Rigidity,F20.2.4,Catatonic rigidity,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.3,Schizophreniform Disorder,Symptoms lasting at least 1 month but less than 6 months,F20.3.1,Hallucinations,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.4,Schizoaffective Disorder,Major mood episode concurrent with schizophrenia symptoms,F20.4.1,Depressive episodes,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.4,Schizoaffective Disorder,Major mood episode concurrent with schizophrenia symptoms,F20.4.2,Manic episodes,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F21,Schizotypal Personality Disorder,Social and interpersonal deficits,F21.1,Odd beliefs or magical thinking,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F21,Schizotypal Personality Disorder,Social and interpersonal deficits,F21.2,Unusual perceptual experiences,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F22,Delusional Disorder,One or more delusions lasting 1 month or longer,F22.1,"Delusional disorder, non-bizarre",No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F23,Brief Psychotic Disorder,One or more positive symptoms lasting 1 day to less than 1 month,F23.1,Hallucinations,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F28,Other Specified Psychotic Disorder,Symptoms that cause distress or impairment but do not meet criteria for other disorders,F28.1,Hallucinations,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F29,Unspecified Schizophrenia Spectrum Disorder,Symptoms do not meet criteria for other disorders,F29.1,Lack of insight,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F29,Unspecified Schizophrenia Spectrum Disorder,Symptoms do not meet criteria for other disorders,F29.2,Negative symptoms,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F29,Unspecified Schizophrenia Spectrum Disorder,Symptoms do not meet criteria for other disorders,F29.3,Disorganized behavior,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.0,Paranoid Schizophrenia,Preoccupation with one or more delusions,F20.0.1,Delusions of persecution,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.0,Paranoid Schizophrenia,Preoccupation with one or more delusions,F20.0.2,Delusions of reference,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.0,Paranoid Schizophrenia,Preoccupation with one or more delusions,F20.0.3,Delusions of control,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.0,Paranoid Schizophrenia,Preoccupation with one or more delusions,F20.0.4,Auditory hallucinations,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.1,Disorganized Schizophrenia,Disorganized speech,F20.1.1,Incoherence,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.1,Disorganized Schizophrenia,Disorganized speech,F20.1.2,Derailment,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.1,Disorganized Schizophrenia,Disorganized behavior,F20.1.3,Agitation,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.1,Disorganized Schizophrenia,Disorganized behavior,F20.1.4,Inappropriate affect,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.1,Disorganized Schizophrenia,Negative symptoms,F20.1.5,Avolition,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.2,Catatonic Schizophrenia,Motor immobility,F20.2.1,Catatonic stupor,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.2,Catatonic Schizophrenia,Excessive motor activity,F20.2.2,Catatonic excitement,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.2,Catatonic Schizophrenia,Echolalia and echopraxia,F20.2.3,Echolalia,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.2,Catatonic Schizophrenia,Rigidity,F20.2.4,Catatonic rigidity,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.3,Schizophreniform Disorder,Symptoms lasting at least 1 month but less than 6 months,F20.3.1,Hallucinations,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.4,Schizoaffective Disorder,Major mood episode concurrent with schizophrenia symptoms,F20.4.1,Depressive episodes,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.0,Paranoid Schizophrenia,Preoccupation with one or more delusions,F20.0.1,Delusions of persecution,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.0,Paranoid Schizophrenia,Preoccupation with one or more delusions,F20.0.2,Delusions of reference,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.0,Paranoid Schizophrenia,Preoccupation with one or more delusions,F20.0.3,Delusions of control,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.0,Paranoid Schizophrenia,Preoccupation with one or more delusions,F20.0.4,Auditory hallucinations,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.1,Disorganized Schizophrenia,Disorganized speech,F20.1.1,Incoherence,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.1,Disorganized Schizophrenia,Disorganized speech,F20.1.2,Derailment,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.1,Disorganized Schizophrenia,Disorganized behavior,F20.1.3,Agitation,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.1,Disorganized Schizophrenia,Disorganized behavior,F20.1.4,Inappropriate affect,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.1,Disorganized Schizophrenia,Negative symptoms,F20.1.5,Avolition,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.2,Catatonic Schizophrenia,Motor immobility,F20.2.1,Catatonic stupor,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.2,Catatonic Schizophrenia,Excessive motor activity,F20.2.2,Catatonic excitement,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.2,Catatonic Schizophrenia,Echolalia and echopraxia,F20.2.3,Echolalia,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.2,Catatonic Schizophrenia,Rigidity,F20.2.4,Catatonic rigidity,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.3,Schizophreniform Disorder,Symptoms lasting at least 1 month but less than 6 months,F20.3.1,Hallucinations,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.4,Schizoaffective Disorder,Major mood episode concurrent with schizophrenia symptoms,F20.4.1,Depressive episodes,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F20.4,Schizoaffective Disorder,Major mood episode concurrent with schizophrenia symptoms,F20.4.2,Manic episodes,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F21,Schizotypal Personality Disorder,Social and interpersonal deficits,F21.1,Odd beliefs or magical thinking,No,Symptom
Schizophrenia Spectrum and Other Psychotic Disorders,F21,Schizotypal Personality Disorder,Social and interpersonal deficits,F21.2,Unusual perceptual experiences,No,Symptom
Sexual Dysfunctions,F52.0,Male erectile disorder,Erectile dysfunction for at least 6 months,F52.0,Erectile dysfunction,No,Symptom
Sexual Dysfunctions,F52.1,Female sexual interest/arousal disorder,Reduced sexual desire or arousal,F52.1,Reduced sexual interest,No,Symptom
Sexual Dysfunctions,F52.2,Female orgasmic disorder,Reduced orgasmic sensation,F52.2,Inability to orgasm,No,Symptom
Sexual Dysfunctions,F52.3,Genito-pelvic pain/penetration disorder,Pain during intercourse,F52.3,Pain during sexual activity,No,Symptom
Sexual Dysfunctions,F52.4,Male hypoactive sexual desire disorder,Low sexual desire,F52.4,Lack of desire,No,Symptom
Sexual Dysfunctions,F52.5,Female sexual arousal disorder,Difficulty in sexual excitement,F52.5,Difficulty maintaining arousal,No,Symptom
Sexual Dysfunctions,F52.6,Male orgasmic disorder,Delayed ejaculation,F52.6,Delayed orgasm,No,Symptom
Sexual Dysfunctions,F52.7,Substance/medication-induced sexual dysfunction,Sexual dysfunction due to substance use,F52.7,Substance-induced dysfunction,No,Symptom
Sexual Dysfunctions,F52.8,Sexual dysfunction not otherwise specified,Sexual dysfunction related to a medical condition,F52.8,Medical condition affecting sexual function,No,Symptom
Sexual Dysfunctions,F52.9,Other sexual dysfunction,Unspecified sexual dysfunction,F52.9,Unspecified dysfunction,No,Symptom
Sexual Dysfunctions,F53.0,Psychological factors affecting other medical conditions,Psychological factors affecting sexual dysfunction,F53.0,Psychological impact on sexual health,No,Symptom
Sexual Dysfunctions,F53.1,Other specified sexual dysfunction,Specified dysfunction,F53.1,Specified dysfunction,No,Symptom
Sexual Dysfunctions,F53.2,Unspecified sexual dysfunction,Unspecified due to medical reasons,F53.2,Unspecified due to medical reasons,No,Symptom
Sexual Dysfunctions,F53.3,Sexual dysfunction due to another medical condition,Hormonal dysfunction,F53.3,Hormonal dysfunction,No,Symptom
Sexual Dysfunctions,F53.4,Sexual dysfunction due to medications,Post-surgical dysfunction,F53.4,Post-surgical dysfunction,No,Symptom
Sexual Dysfunctions,F53.5,Sexual dysfunction due to alcohol,Post-trauma dysfunction,F53.5,Post-trauma dysfunction,No,Symptom
Sexual Dysfunctions,F53.6,Sexual dysfunction due to drugs,Anxiety-related sexual issues,F53.6,Anxiety-related sexual issues,No,Symptom
Sexual Dysfunctions,F53.7,Sexual dysfunction due to surgery,Lack of sexual enjoyment,F53.7,Lack of sexual enjoyment,No,Symptom
Sexual Dysfunctions,F53.8,Sexual dysfunction due to trauma,Difficulty with arousal,F53.8,Difficulty with arousal,No,Symptom
Sexual Dysfunctions,F53.9,Sexual dysfunction due to psychiatric disorder,Delayed orgasm,F53.9,Delayed orgasm,No,Symptom
Sexual Dysfunctions,F54.0,Sexual dysfunction associated with anxiety,Pain during intercourse,F54.0,Pain during intercourse,No,Symptom
Sexual Dysfunctions,F54.1,Sexual dysfunction associated with depression,Inability to achieve orgasm,F54.1,Inability to achieve orgasm,No,Symptom
Sexual Dysfunctions,F54.2,Sexual dysfunction associated with relationship problems,Difficulty experiencing sexual pleasure,F54.2,Difficulty experiencing sexual pleasure,No,Symptom
Sexual Dysfunctions,F54.3,Sexual dysfunction associated with aging,Loss of sexual desire,F54.3,Loss of sexual desire,No,Symptom
Sexual Dysfunctions,F54.4,Sexual dysfunction due to medications,Difficulty maintaining arousal,F54.4,Difficulty maintaining arousal,No,Symptom
Sexual Dysfunctions,F52.5,Female sexual arousal disorder,Difficulty in sexual excitement,F52.5.1,Difficulty in sexual excitement,No,Symptom
Sexual Dysfunctions,F52.6,Male orgasmic disorder,Delayed ejaculation,F52.6.1,Delayed ejaculation,No,Symptom
Sexual Dysfunctions,F52.7,Substance/medication-induced sexual dysfunction,Sexual dysfunction due to substance use,F52.7.1,Substance-induced sexual dysfunction,No,Symptom
Sexual Dysfunctions,F52.8,Sexual dysfunction not otherwise specified,Sexual dysfunction related to a medical condition,F52.8.1,Medical condition affecting sexual function,No,Symptom
Sexual Dysfunctions,F52.9,Other sexual dysfunction,Unspecified sexual dysfunction,F52.9.1,Unspecified dysfunction,No,Symptom
Sexual Dysfunctions,F53.0,Psychological factors affecting other medical conditions,Psychological factors affecting sexual dysfunction,F53.0.1,Psychological impact on sexual health,No,Symptom
Sexual Dysfunctions,F53.1,Other specified sexual dysfunction,Specified dysfunction,F53.1.1,Specified dysfunction,No,Symptom
Sexual Dysfunctions,F53.2,Unspecified sexual dysfunction,Unspecified due to medical reasons,F53.2.1,Unspecified due to medical reasons,No,Symptom
Sexual Dysfunctions,F53.3,Sexual dysfunction due to another medical condition,Hormonal dysfunction,F53.3.1,Hormonal dysfunction,No,Symptom
Sexual Dysfunctions,F53.4,Sexual dysfunction due to medications,Post-surgical dysfunction,F53.4.1,Post-surgical dysfunction,No,Symptom
Sexual Dysfunctions,F53.5,Sexual dysfunction due to alcohol,Post-trauma dysfunction,F53.5.1,Post-trauma dysfunction,No,Symptom
Sexual Dysfunctions,F53.6,Sexual dysfunction due to drugs,Anxiety-related sexual issues,F53.6.1,Anxiety-related sexual issues,No,Symptom
Sexual Dysfunctions,F53.7,Sexual dysfunction due to surgery,Lack of sexual enjoyment,F53.7.1,Lack of sexual enjoyment,No,Symptom
Sexual Dysfunctions,F53.8,Sexual dysfunction due to trauma,Difficulty with arousal,F53.8.1,Difficulty with arousal,No,Symptom
Sexual Dysfunctions,F53.9,Sexual dysfunction due to psychiatric disorder,Delayed orgasm,F53.9.1,Delayed orgasm,No,Symptom
Sexual Dysfunctions,F54.0,Sexual dysfunction associated with anxiety,Pain during intercourse,F54.0.1,Pain during intercourse,No,Symptom
Sexual Dysfunctions,F54.1,Sexual dysfunction associated with depression,Inability to achieve orgasm,F54.1.1,Inability to achieve orgasm,No,Symptom
Sexual Dysfunctions,F54.2,Sexual dysfunction associated with relationship problems,Difficulty experiencing sexual pleasure,F54.2.1,Difficulty experiencing sexual pleasure,No,Symptom
Sexual Dysfunctions,F54.3,Sexual dysfunction associated with aging,Loss of sexual desire,F54.3.1,Loss of sexual desire,No,Symptom
Sexual Dysfunctions,F54.4,Sexual dysfunction due to medications,Difficulty maintaining arousal,F54.4.1,Difficulty maintaining arousal,No,Symptom
Sexual Dysfunctions,F54.5,Sexual dysfunction due to chronic illness,Chronic illness affecting sexual function,F54.5.1,Chronic illness affecting sexual function,No,Symptom
Sexual Dysfunctions,F54.6,Sexual dysfunction related to anxiety,Anxiety-related sexual dysfunction,F54.6.1,Anxiety-related sexual dysfunction,No,Symptom
Sexual Dysfunctions,F52.0,Male erectile disorder,Difficulty maintaining an erection,F52.0.1,Difficulty maintaining an erection,No,Symptom
Sexual Dysfunctions,F52.1,Female sexual interest/arousal disorder,Lack of sexual interest,F52.1.1,Lack of sexual interest,No,Symptom
Sexual Dysfunctions,F52.2,Male hypoactive sexual desire disorder,Low desire for sexual activity,F52.2.1,Low desire for sexual activity,No,Symptom
Sexual Dysfunctions,F52.3,Female sexual arousal disorder,Inability to maintain sexual excitement,F52.3.1,Inability to maintain sexual excitement,No,Symptom
Sexual Dysfunctions,F52.4,Sexual aversion disorder,Fear of sexual activity,F52.4.1,Fear of sexual activity,No,Symptom
Sexual Dysfunctions,F53.8,Sexual dysfunction due to physical trauma,Trauma-related sexual dysfunction,F53.8.2,Trauma-related sexual dysfunction,No,Symptom
Sexual Dysfunctions,F53.9,Sexual dysfunction due to psychological factors,Psychological issues affecting sexual function,F53.9.2,Psychological issues affecting sexual function,No,Symptom
Sleep-Wake Disorders,G47.00,Insomnia Disorder,"Difficulty falling asleep, waking up too early",G47.00.1,Difficulty falling asleep,No,Symptom
Sleep-Wake Disorders,G47.00,Insomnia Disorder,"Difficulty falling asleep, waking up too early",G47.00.2,Waking too early,No,Symptom
Sleep-Wake Disorders,G47.01,Hypersomnolence Disorder,Excessive daytime sleepiness,G47.01.1,Excessive daytime sleepiness,No,Symptom
Sleep-Wake Disorders,G47.01,Hypersomnolence Disorder,Excessive daytime sleepiness,G47.01.2,Sleep attack,No,Symptom
Sleep-Wake Disorders,G47.10,Narcolepsy,Recurrent periods of irrepressible need to sleep,G47.10.1,Irrepressible need to sleep,No,Symptom
Sleep-Wake Disorders,G47.10,Narcolepsy,Recurrent periods of irrepressible need to sleep,G47.10.2,Recurrent lapses into sleep,No,Symptom
Sleep-Wake Disorders,G47.30,Breathing-Related Sleep Disorders,Apnea during sleep,G47.30.1,Apnea during sleep,No,Symptom
Sleep-Wake Disorders,G47.30,Breathing-Related Sleep Disorders,Apnea during sleep,G47.30.2,Cessation of breathing,No,Symptom
Sleep-Wake Disorders,G47.31,Breathing-Related Sleep Disorders,Hypersomnia,G47.31.1,Hypersomnia,No,Symptom
Sleep-Wake Disorders,G47.31,Breathing-Related Sleep Disorders,Hypersomnia,G47.31.2,Severe daytime sleepiness,No,Symptom
Sleep-Wake Disorders,G47.32,Breathing-Related Sleep Disorders,Disturbed sleep architecture,G47.32.1,Disturbed sleep architecture,No,Symptom
Sleep-Wake Disorders,G47.32,Breathing-Related Sleep Disorders,Disturbed sleep architecture,G47.32.2,Circadian rhythm disturbance,No,Symptom
Sleep-Wake Disorders,G47.33,Breathing-Related Sleep Disorders,Decreased sleep duration,G47.33.1,Decreased sleep duration,No,Symptom
Sleep-Wake Disorders,G47.33,Breathing-Related Sleep Disorders,Decreased sleep duration,G47.33.2,Increased sleep duration,No,Symptom
Sleep-Wake Disorders,G47.34,Circadian Rhythm Sleep-Wake Disorders,Difficulty maintaining sleep,G47.34.1,Difficulty maintaining sleep,No,Symptom
Sleep-Wake Disorders,G47.34,Circadian Rhythm Sleep-Wake Disorders,Difficulty maintaining sleep,G47.34.2,Poor sleep quality,No,Symptom
Sleep-Wake Disorders,G47.35,Circadian Rhythm Sleep-Wake Disorders,Sleep fragmentation,G47.35.1,Sleep fragmentation,No,Symptom
Sleep-Wake Disorders,G47.35,Circadian Rhythm Sleep-Wake Disorders,Daytime fatigue,G47.35.2,Daytime fatigue,No,Symptom
Sleep-Wake Disorders,G47.40,Sleep Disorders,Daytime sleepiness,G47.40.1,Daytime sleepiness,No,Symptom
Sleep-Wake Disorders,G47.40,Sleep Disorders,Daytime sleepiness,G47.40.2,Low energy,No,Symptom
Sleep-Wake Disorders,G47.41,Sleep Disorders,Sleep deprivation,G47.41.1,Sleep deprivation,No,Symptom
Sleep-Wake Disorders,G47.41,Sleep Disorders,Sleep deprivation,G47.41.2,Restless legs,No,Symptom
Sleep-Wake Disorders,G47.42,Sleep Disorders,Periodic limb movement,G47.42.1,Periodic limb movement,No,Symptom
Sleep-Wake Disorders,G47.42,Sleep Disorders,Periodic limb movement,G47.42.2,Snoring,No,Symptom
Sleep-Wake Disorders,G47.43,Other Sleep Disorders,Insomnia,G47.43.1,Insomnia,No,Symptom
Sleep-Wake Disorders,G47.43,Other Sleep Disorders,Sleep disturbance,G47.43.2,Sleep disturbance,No,Symptom
Sleep-Wake Disorders,G47.49,Other Sleep Disorders,Sleep issues,G47.49.1,Sleep issue,No,Symptom
Sleep-Wake Disorders,G47.50,Sleep Disorder Due to Another Medical Condition,Sleep quality,G47.50.1,Sleep quality,No,Symptom
Sleep-Wake Disorders,G47.50,Sleep Disorder Due to Another Medical Condition,Sleep quality,G47.50.2,Sleep health problem,No,Symptom
Sleep-Wake Disorders,G47.51,Unspecified Sleep-Wake Disorder,Sleep disturbances,G47.51.1,Sleep disturbances,No,Symptom
Sleep-Wake Disorders,G47.51,Unspecified Sleep-Wake Disorder,Sleep disturbances,G47.51.2,Sleep issues,No,Symptom
Sleep-Wake Disorders,G47.52,Unspecified Sleep-Wake Disorder,Sleep quality problem,G47.52.1,Sleep quality,No,Symptom
Sleep-Wake Disorders,G47.52,Unspecified Sleep-Wake Disorder,Sleep quality problem,G47.52.2,Sleep health problem,No,Symptom
Sleep-Wake Disorders,G47.53,Unspecified Sleep-Wake Disorder,Sleep disturbances,G47.53.1,Sleep disturbances,No,Symptom
Sleep-Wake Disorders,G47.53,Unspecified Sleep-Wake Disorder,Sleep disturbances,G47.53.2,Sleep issues,No,Symptom
Sleep-Wake Disorders,G47.59,Unspecified Sleep-Wake Disorder,Sleep disturbance,G47.59.1,Sleep disturbance,No,Symptom
Sleep-Wake Disorders,G47.30,Breathing-Related Sleep Disorders,Apnea during sleep,G47.30.2,Hypersomnia,No,Symptom
Sleep-Wake Disorders,G47.31,Breathing-Related Sleep Disorders,Severe daytime sleepiness,G47.31.1,Severe daytime sleepiness,No,Symptom
Sleep-Wake Disorders,G47.31,Breathing-Related Sleep Disorders,Severe daytime sleepiness,G47.31.2,Disturbed sleep architecture,No,Symptom
Sleep-Wake Disorders,G47.32,Breathing-Related Sleep Disorders,Disturbed sleep architecture,G47.32.2,Decreased sleep duration,No,Symptom
Sleep-Wake Disorders,G47.33,Breathing-Related Sleep Disorders,Increased sleep duration,G47.33.1,Increased sleep duration,No,Symptom
Sleep-Wake Disorders,G47.33,Breathing-Related Sleep Disorders,Increased sleep duration,G47.33.2,Difficulty maintaining sleep,No,Symptom
Sleep-Wake Disorders,G47.34,Breathing-Related Sleep Disorders,Poor sleep quality,G47.34.1,Poor sleep quality,No,Symptom
Sleep-Wake Disorders,G47.34,Breathing-Related Sleep Disorders,Poor sleep quality,G47.34.2,Sleep fragmentation,No,Symptom
Sleep-Wake Disorders,G47.35,Breathing-Related Sleep Disorders,Daytime fatigue,G47.35.1,Daytime fatigue,No,Symptom
Sleep-Wake Disorders,G47.35,Breathing-Related Sleep Disorders,Daytime fatigue,G47.35.2,Daytime sleepiness,No,Symptom
Sleep-Wake Disorders,G47.40,Breathing-Related Sleep Disorders,Low energy,G47.40.1,Low energy,No,Symptom
Sleep-Wake Disorders,G47.40,Breathing-Related Sleep Disorders,Low energy,G47.40.2,Sleep deprivation,No,Symptom
Sleep-Wake Disorders,G47.41,Breathing-Related Sleep Disorders,Restless legs,G47.41.1,Restless legs,No,Symptom
Sleep-Wake Disorders,G47.41,Breathing-Related Sleep Disorders,Restless legs,G47.41.2,Periodic limb movement,No,Symptom
Sleep-Wake Disorders,G47.42,Breathing-Related Sleep Disorders,Snoring,G47.42.1,Snoring,No,Symptom
Sleep-Wake Disorders,G47.42,Breathing-Related Sleep Disorders,Snoring,G47.42.2,Insomnia,No,Symptom
Sleep-Wake Disorders,G47.43,Breathing-Related Sleep Disorders,Sleep disturbance,G47.43.1,Sleep disturbance,No,Symptom
Sleep-Wake Disorders,G47.43,Breathing-Related Sleep Disorders,Sleep disturbance,G47.43.2,Sleep issues,No,Symptom
Sleep-Wake Disorders,G47.49,Breathing-Related Sleep Disorders,Sleep quality,G47.49.1,Sleep quality,No,Symptom
Sleep-Wake Disorders,G47.50,Breathing-Related Sleep Disorders,Sleep health problem,G47.50.1,Sleep health problem,No,Symptom
Sleep-Wake Disorders,G47.50,Breathing-Related Sleep Disorders,Sleep health problem,G47.50.2,Sleep disturbances,No,Symptom
Sleep-Wake Disorders,G47.51,Breathing-Related Sleep Disorders,Sleep disturbances,G47.51.1,Sleep disturbances,No,Symptom
Sleep-Wake Disorders,G47.52,Breathing-Related Sleep Disorders,Sleep disturbances,G47.52.1,Sleep disturbances,No,Symptom
Sleep-Wake Disorders,G47.53,Breathing-Related Sleep Disorders,Sleep disturbances,G47.53.1,Sleep disturbances,No,Symptom
Sleep-Wake Disorders,G47.59,Breathing-Related Sleep Disorders,Sleep disturbances,G47.59.1,Sleep disturbances,No,Symptom
Sleep-Wake Disorder (Parasomnias),G47.10,Non-Rapid Eye Movement Sleep Arousal Disorder,Recurrent episodes of arousal during sleep,G47.10.1,Recurrent episodes of arousal,No,Symptom
Sleep-Wake Disorder (Parasomnias),G47.10,Non-Rapid Eye Movement Sleep Arousal Disorder,Recurrent episodes of arousal during sleep,G47.10.2,Sleepwalking,No,Symptom
Sleep-Wake Disorder (Parasomnias),G47.10,Non-Rapid Eye Movement Sleep Arousal Disorder,Recurrent episodes of arousal during sleep,G47.10.3,Night terrors,No,Symptom
Sleep-Wake Disorder (Parasomnias),G47.11,Rapid Eye Movement Sleep Behavior Disorder,Recurrent episodes of arousal during sleep,G47.11.1,Acting out dreams,No,Symptom
Sleep-Wake Disorder (Parasomnias),G47.11,Rapid Eye Movement Sleep Behavior Disorder,Recurrent episodes of arousal during sleep,G47.11.2,REM sleep without atonia,No,Symptom
Sleep-Wake Disorder (Parasomnias),G47.11,Rapid Eye Movement Sleep Behavior Disorder,Recurrent episodes of arousal during sleep,G47.11.3,Verbalizations during sleep,No,Symptom
Sleep-Wake Disorder (Parasomnias),G47.12,Sleep Terrors,Recurrent episodes of abrupt awakening,G47.12.1,Abrupt awakening with terror,No,Symptom
Sleep-Wake Disorder (Parasomnias),G47.12,Sleep Terrors,Recurrent episodes of abrupt awakening,G47.12.2,No memory of episode,No,Symptom
Sleep-Wake Disorder (Parasomnias),G47.13,Sleepwalking,Episodes of rising from bed and walking around,G47.13.1,Rising from bed,No,Symptom
Sleep-Wake Disorder (Parasomnias),G47.13,Sleepwalking,Episodes of rising from bed and walking around,G47.13.2,Engaging in complex behaviors,No,Symptom
